,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
60960,IMN,Europe,Isle of Man,2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120042.0,64408.0,55634.0,,15.0,639.0,140.55,75.41,65.14,,7482.0,35.0,0.041,,85410.0,147.872,,,,,,,,,,,,81.4,,,,,
82504,MDA,Europe,Moldova,2021-07-20,258096.0,89.0,72.571,6229.0,2.0,2.143,64138.767,22.117,18.035,1547.953,0.497,0.533,1.23,,,,,,,,,,1348616.0,335.141,,5211.0,1.295,0.014,71.8,tests performed,,,,,,12545.0,,,,,3118.0,1571.0,0.039,56.48,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
112375,SVK,Europe,Slovakia,2021-07-20,775757.0,52.0,37.429,12531.0,4.0,1.286,142061.147,9.523,6.854,2294.75,0.733,0.235,1.05,4.0,0.733,49.0,8.973,,,,,14483.0,40453588.0,7408.097,2.652,14915.0,2.731,0.003,333.3,tests performed,4121600.0,2224631.0,1896969.0,,14090.0,17101.0,75.48,40.74,34.74,,3132.0,6687.0,0.122,43.98,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,
125561,TON,Oceania,Tonga,2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35635.0,28729.0,6906.0,,,240.0,33.38,26.91,6.47,,2248.0,2.0,0.002,43.52,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,
31597,CYP,Europe,Cyprus,2021-07-21,94754.0,995.0,1008.857,392.0,1.0,1.286,105751.642,1110.485,1125.95,437.498,1.116,1.435,1.1,26.0,29.018,243.0,271.204,,,,,73098.0,9450242.0,10547.086,81.582,70542.0,78.729,0.014,69.9,tests performed,946070.0,511744.0,434326.0,,4672.0,5099.0,105.59,57.11,48.47,,5691.0,2941.0,0.328,38.89,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
49865,GRD,North America,Grenada,2021-07-21,164.0,3.0,0.429,1.0,0.0,0.0,1451.135,26.545,3.792,8.848,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,938.0,53.0,0.047,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
88088,NPL,Asia,Nepal,2021-07-21,672871.0,1918.0,1726.143,9637.0,30.0,29.571,22674.737,64.634,58.168,324.752,1.011,0.997,1.1,,,,,,,,,,,,,8135.0,0.274,0.212,4.7,tests performed,,,,,,102741.0,,,,,3462.0,86910.0,0.293,58.33,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
12876,BEL,Europe,Belgium,2021-07-22,1112161.0,3486.0,1441.714,25217.0,4.0,1.286,95609.445,299.682,123.94,2167.837,0.344,0.111,1.26,83.0,7.135,289.0,24.845,,,,,70013.0,16805713.0,1444.741,6.019,67007.0,5.76,0.024,41.7,tests performed,13632101.0,7905323.0,6044941.0,,185283.0,113263.0,117.19,67.96,51.97,,9737.0,20183.0,0.174,50.93,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
15078,BTN,Asia,Bhutan,2021-07-22,2458.0,2.0,11.143,2.0,0.0,0.0,3151.686,2.564,14.288,2.564,0.0,0.0,0.77,,,,,,,,,,,,,,,,,,768478.0,486242.0,282236.0,,87648.0,40073.0,98.54,62.35,36.19,,51382.0,53.0,0.007,59.72,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
51482,GIN,Africa,Guinea,2021-07-22,24823.0,0.0,75.0,195.0,0.0,1.571,1839.117,0.0,5.557,14.447,0.0,0.116,1.14,,,,,,,,,,,,,,,,,,,,,,,1598.0,,,,,118.0,1140.0,0.008,62.04,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
95296,OMN,Asia,Oman,2021-07-22,289042.0,0.0,0.0,3498.0,0.0,0.0,55336.242,0.0,0.0,669.682,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,14437.0,,,,,2764.0,10358.0,0.198,50.0,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
138585,ZWE,Africa,Zimbabwe,2021-07-22,93421.0,2301.0,2078.429,2870.0,61.0,64.571,6190.031,152.463,137.716,190.165,4.042,4.278,1.01,,,,,,,,,14987.0,872248.0,57.795,0.993,10365.0,0.687,0.201,5.0,tests performed,2016810.0,1352223.0,664587.0,,67629.0,40724.0,13.36,8.96,4.4,,2698.0,36603.0,0.243,62.04,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
24127,CAF,Africa,Central African Republic,2021-07-23,7147.0,0.0,0.714,98.0,0.0,0.0,1452.646,0.0,0.145,19.919,0.0,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,501.0,,,,,102.0,988.0,0.02,11.11,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
33568,DNK,Europe,Denmark,2021-07-23,311170.0,708.0,822.571,2543.0,0.0,0.143,53527.238,121.79,141.498,437.445,0.0,0.025,1.03,11.0,1.892,55.0,9.461,,,,,75619.0,37407007.0,6434.726,13.008,75977.0,13.07,0.011,92.4,tests performed,6937522.0,4049680.0,2900508.0,364.0,68394.0,83435.0,119.34,69.66,49.89,0.01,14352.0,27105.0,0.466,47.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
126844,TUN,Africa,Tunisia,2021-07-23,558306.0,0.0,3576.0,18052.0,0.0,119.714,46775.891,0.0,299.604,1512.429,0.0,10.03,0.89,,,,,,,,,,2135283.0,178.898,,14794.0,1.239,0.242,4.1,people tested,,,,,,35524.0,,,,,2976.0,14765.0,0.124,71.3,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,
133814,VUT,Oceania,Vanuatu,2021-07-23,4.0,0.0,0.0,1.0,0.0,0.0,12.72,0.0,0.0,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,719.0,,,,,2286.0,712.0,0.226,22.22,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,
138586,ZWE,Africa,Zimbabwe,2021-07-23,95686.0,2265.0,2074.0,2961.0,91.0,63.0,6340.108,150.078,137.422,196.194,6.03,4.174,0.99,,,,,,,,,11864.0,884112.0,58.581,0.786,10396.0,0.689,0.199,5.0,tests performed,2116373.0,1438599.0,677774.0,,99563.0,52112.0,14.02,9.53,4.49,,3453.0,46368.0,0.307,62.04,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
105356,LCA,North America,Saint Lucia,2021-07-24,5516.0,0.0,6.571,88.0,0.0,0.143,29913.07,0.0,35.637,477.221,0.0,0.775,1.25,,,,,,,,,,,,,,,,,,55939.0,32001.0,23938.0,,,165.0,30.34,17.35,12.98,,895.0,55.0,0.03,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,,,,
1182,OWID_AFR,,Africa,2021-07-25,6468158.0,32896.0,33666.714,164341.0,885.0,921.143,4709.299,23.951,24.512,119.652,0.644,0.671,,,,,,,,,,,,,,,,,,,61184510.0,40442622.0,21281011.0,,689701.0,588509.0,4.45,2.94,1.55,,428.0,374263.0,0.027,,1373486472.0,,,,,,,,,,,,,,,,,,
131465,USA,North America,United States,2021-07-25,34539564.0,25634.0,52593.571,610503.0,85.0,271.714,103748.874,76.999,157.979,1833.81,0.255,0.816,1.5,8867.0,26.634,33406.0,100.344,,,35063.0,105.321,490732.0,487320954.0,1463.8,1.474,774200.0,2.326,0.068,14.7,tests performed,349365726.0,191114940.0,165655437.0,,257621.0,556482.0,105.23,57.56,49.89,,1676.0,357887.0,0.108,49.54,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,678384.4,14.7,10.03,2037.71007377095
73024,LTU,Europe,Lithuania,2021-07-26,281063.0,97.0,178.571,4410.0,0.0,0.857,104489.747,36.061,66.387,1639.489,0.0,0.319,1.62,,,95.0,35.318,,,,,13977.0,4128359.0,1534.785,5.196,9843.0,3.659,0.022,45.5,tests performed,2507222.0,1363139.0,1222368.0,411.0,16192.0,11296.0,93.21,50.68,45.44,0.02,4199.0,7622.0,0.283,29.63,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,,,,
88744,NLD,Europe,Netherlands,2021-07-26,1876493.0,3938.0,5807.429,18087.0,1.0,3.429,109269.361,229.312,338.17,1053.217,0.058,0.2,0.7,140.0,8.152,437.0,25.447,,,,,31417.0,15524010.0,903.973,1.829,34501.0,2.009,0.168,5.9,tests performed,20254917.0,,,,,147559.0,117.95,,,,8592.0,27028.0,0.157,41.67,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,
74366,OWID_LMC,,Lower middle income,2021-07-26,50293571.0,149485.0,158838.714,849305.0,3673.0,3841.714,15100.215,44.882,47.69,254.997,1.103,1.153,,,,,,,,,,,,,,,,,,,675749245.0,506865399.0,167480148.0,,12228622.0,7577700.0,20.29,15.22,5.03,,2275.0,5046217.0,0.152,,3330652550.0,,,,,,,,,,,,,,,,,,
110841,SLE,Africa,Sierra Leone,2021-07-26,6228.0,0.0,5.286,118.0,0.0,0.429,764.984,0.0,0.649,14.494,0.0,0.053,0.61,,,,,,,,,,,,,,,,,,,,,,,1415.0,,,,,174.0,1142.0,0.014,43.98,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
47301,DEU,Europe,Germany,2021-07-27,3766501.0,2060.0,1665.0,91592.0,19.0,24.143,44892.489,24.553,19.845,1091.674,0.226,0.288,1.32,367.0,4.374,,,,,,,,,,,84457.0,1.007,,,tests performed,90936107.0,51245427.0,42072792.0,1249.0,556169.0,456058.0,108.39,61.08,50.15,0.0,5436.0,105732.0,0.126,67.59,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
75325,MAC,Asia,Macao,2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492987.0,279472.0,215237.0,,4231.0,4437.0,74.88,42.45,32.69,,6739.0,1166.0,0.177,31.48,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
92994,MKD,Europe,North Macedonia,2021-07-27,156124.0,38.0,27.571,5491.0,0.0,0.571,74963.712,18.246,13.239,2636.531,0.0,0.274,1.72,,,,,,,,,,944136.0,453.332,,2021.0,0.97,0.014,73.3,tests performed,862426.0,500995.0,361431.0,,15090.0,15497.0,41.41,24.06,17.35,,7441.0,6588.0,0.316,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,,,
19900,BFA,Africa,Burkina Faso,2021-07-28,13560.0,4.0,3.286,169.0,0.0,0.0,630.783,0.186,0.153,7.862,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,7.0,299.0,0.001,22.22,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
19261,BGR,Europe,Bulgaria,2021-07-28,424295.0,216.0,139.429,18205.0,2.0,2.571,61521.854,31.32,20.217,2639.685,0.29,0.373,1.62,77.0,11.165,755.0,109.473,,,,,,,,,14834.0,2.151,0.009,106.4,tests performed,2001777.0,1017204.0,984573.0,,12972.0,9157.0,29.03,14.75,14.28,,1328.0,970.0,0.014,42.59,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
30963,CUW,North America,Curacao,2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174286.0,92386.0,81900.0,,474.0,227.0,105.76,56.06,49.7,,1377.0,107.0,0.065,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
61626,ISR,Asia,Israel,2021-07-28,867240.0,2328.0,1669.714,6462.0,1.0,1.143,93341.944,250.565,179.713,695.512,0.108,0.123,1.53,32.0,3.444,399.0,42.945,,,,,102848.0,19166395.0,2062.899,11.07,89496.0,9.633,0.019,53.6,tests performed,11161324.0,5793119.0,5363845.0,4360.0,16578.0,14710.0,120.13,62.35,57.73,0.05,1583.0,3438.0,0.037,35.19,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
123950,THA,Asia,Thailand,2021-07-28,543361.0,16533.0,14840.571,4397.0,133.0,112.429,7767.755,236.352,212.157,62.858,1.901,1.607,1.25,,,,,,,,,63825.0,10385288.0,148.466,0.912,60260.0,0.861,0.246,4.1,tests performed,16591329.0,12858570.0,3732759.0,,164270.0,215233.0,23.72,18.38,5.34,,3077.0,188529.0,0.27,68.52,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
14142,BEN,Africa,Benin,2021-07-29,8394.0,0.0,10.0,108.0,0.0,0.143,674.161,0.0,0.803,8.674,0.0,0.011,0.39,,,,,,,,,,,,,,,,,,,,,,,1015.0,,,,,82.0,470.0,0.004,38.89,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
17132,BWA,Africa,Botswana,2021-07-29,106690.0,4566.0,1290.429,1569.0,84.0,27.714,44505.348,1904.69,538.298,654.503,35.04,11.561,1.27,,,,,,,,,,,,,7362.0,3.071,0.175,5.7,tests performed,,,,,,4839.0,,,,,2019.0,3985.0,0.166,53.7,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
51489,GIN,Africa,Guinea,2021-07-29,25401.0,108.0,82.571,211.0,3.0,2.286,1881.941,8.002,6.118,15.633,0.222,0.169,1.12,,,,,,,,,,,,,,,,,,,,,,,8403.0,,,,,623.0,4382.0,0.032,62.04,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
14476,BMU,North America,Bermuda,2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82870.0,41873.0,40997.0,,,57.0,133.46,67.44,66.03,,918.0,32.0,0.052,37.96,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
66659,OWID_KOS,Europe,Kosovo,2021-07-30,108273.0,70.0,42.857,2269.0,0.0,0.0,60755.338,39.279,24.048,1273.206,0.0,0.0,1.85,,,,,,,,,6729.0,733434.0,411.553,3.776,3390.0,1.902,0.013,79.1,tests performed,413078.0,275633.0,137445.0,,12861.0,9964.0,23.18,15.47,7.71,,5591.0,4930.0,0.277,32.41,1782115.0,168.155,,,,9795.834,0.6,,,,,,,,,,,,
102046,QAT,Asia,Qatar,2021-07-30,226077.0,172.0,161.286,601.0,0.0,0.143,77145.589,58.693,55.036,205.083,0.0,0.049,1.13,,,,,,,,,5636.0,2326357.0,793.837,1.923,5170.0,1.764,,,people tested,3775560.0,2050819.0,1724741.0,,23279.0,19898.0,128.84,69.98,58.85,,6790.0,12200.0,0.416,50.0,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,,,
48932,GRC,Europe,Greece,2021-07-31,493304.0,2752.0,2705.429,12965.0,17.0,10.714,47566.872,265.362,260.871,1250.151,1.639,1.033,1.1,,,,,,,,,112131.0,12804347.0,1234.66,10.812,89114.0,8.593,0.03,32.9,samples tested,10536457.0,5705615.0,5165666.0,,60540.0,53674.0,101.6,55.02,49.81,,5176.0,15284.0,0.147,66.2,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
95305,OMN,Asia,Oman,2021-07-31,295857.0,0.0,973.571,3814.0,0.0,45.143,56640.954,0.0,186.387,730.179,0.0,8.642,0.58,,,,,,,,,,,,,,,,,,,,,,,46019.0,,,,,8810.0,27607.0,0.529,50.0,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4188.2,28.38,133.65,801.818593951498
97351,PAN,North America,Panama,2021-07-31,435655.0,1195.0,938.857,6823.0,15.0,10.429,99428.677,272.732,214.274,1557.2,3.423,2.38,0.95,,,,,,,,,13106.0,3366865.0,768.413,2.991,10710.0,2.444,0.088,11.4,tests performed,2679699.0,1984082.0,695617.0,,106473.0,73023.0,61.16,45.28,15.88,,16666.0,71258.0,1.626,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
120055,SWE,Europe,Sweden,2021-07-31,1100040.0,0.0,463.0,14655.0,0.0,0.571,108269.959,0.0,45.57,1442.399,0.0,0.056,1.42,16.0,1.575,107.0,10.531,,,,,10938.0,,,1.077,10889.0,1.072,0.043,23.5,tests performed,,,,,,57931.0,,,,,5702.0,21982.0,0.216,37.04,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,
49249,GRL,North America,Greenland,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,,,,,14701.0,233.0,0.41,38.89,56868.0,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
60001,IRQ,Asia,Iraq,2021-08-01,1635993.0,9394.0,11906.429,18734.0,77.0,63.857,39728.479,228.124,289.136,454.937,1.87,1.551,1.09,,,,,,,,,45787.0,13122716.0,318.672,1.112,52777.0,1.282,0.226,4.4,samples tested,,,,,,29698.0,,,,,721.0,48450.0,0.118,75.93,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,
118107,LKA,Asia,Sri Lanka,2021-08-01,311349.0,2537.0,2119.0,4503.0,67.0,57.714,14483.164,118.015,98.57,209.468,3.117,2.685,1.21,,,,,,,,,19122.0,4466770.0,207.783,0.89,13421.0,0.624,0.158,6.3,tests performed,12098889.0,9944683.0,2154206.0,,330079.0,455904.0,56.28,46.26,10.02,,21207.0,404371.0,1.881,81.48,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
85385,MAR,Africa,Morocco,2021-08-01,629717.0,6189.0,7206.429,9833.0,48.0,34.857,16862.246,165.726,192.97,263.303,1.285,0.933,1.51,,,,,,,,,29514.0,7014693.0,187.836,0.79,35165.0,0.942,0.205,4.9,people tested,23802188.0,13672764.0,10129424.0,,46678.0,322293.0,63.74,36.61,27.12,,8630.0,274907.0,0.736,59.26,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
105999,VCT,North America,Saint Vincent and the Grenadines,2021-08-01,2291.0,0.0,2.857,12.0,0.0,0.0,20589.742,0.0,25.678,107.847,0.0,0.0,0.96,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,63.0,3.0,0.003,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,,,,
27974,COG,Africa,Congo,2021-08-02,13216.0,30.0,8.571,178.0,0.0,0.143,2336.214,5.303,1.515,31.465,0.0,0.025,0.68,,,,,,,,,,,,,,,,,,,,,,,3408.0,,,,,602.0,1399.0,0.025,48.15,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
130786,GBR,Europe,United Kingdom,2021-08-02,5929881.0,22287.0,25935.714,130039.0,25.0,82.714,86939.333,326.755,380.249,1906.531,0.367,1.213,0.86,895.0,13.122,6215.0,91.12,,,,,715214.0,221855623.0,3252.676,10.486,774307.0,11.352,0.033,29.9,tests performed,85430113.0,46863706.0,38566407.0,,152284.0,196366.0,125.25,68.71,56.54,,2879.0,34925.0,0.051,43.98,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
69885,LBN,Asia,Lebanon,2021-08-02,563124.0,597.0,1068.714,7912.0,3.0,2.571,83189.753,88.194,157.88,1168.832,0.443,0.38,1.32,,,,,,,,,,,,,,,,,,1982156.0,1127622.0,854534.0,,32898.0,20572.0,29.28,16.66,12.62,,3039.0,6158.0,0.091,65.74,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
19906,BFA,Africa,Burkina Faso,2021-08-03,13591.0,0.0,5.0,169.0,0.0,0.0,632.225,0.0,0.233,7.862,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,7.0,299.0,0.001,22.22,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
9632,BHS,North America,Bahamas,2021-08-03,15011.0,171.0,108.429,291.0,4.0,1.0,37819.276,430.824,273.179,733.156,10.078,2.519,1.15,,,,,,,,,,,,,,,,,,,,,,,558.0,,,,,1406.0,175.0,0.044,55.56,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
28786,CRI,North America,Costa Rica,2021-08-03,411123.0,4309.0,1297.0,5070.0,40.0,11.857,79999.759,838.481,252.381,986.563,7.784,2.307,1.17,,,,,,,,,4508.0,1484079.0,288.785,0.877,7334.0,1.427,0.146,6.8,people tested,,,,,,15659.0,,,,,3047.0,14819.0,0.288,54.63,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
41321,OWID_EUR,,Europe,2021-08-03,52533956.0,117688.0,120690.143,1139312.0,1293.0,1109.857,70142.26,157.135,161.143,1521.186,1.726,1.482,,,,,,,,,,,,,,,,,,,661835796.0,372148484.0,304394463.0,123260.0,3935211.0,3737840.0,88.37,49.69,40.64,0.02,4991.0,1506342.0,0.201,,748962983.0,,,,,,,,,,,,,,,,,,
100742,POL,Europe,Poland,2021-08-03,2883284.0,164.0,136.714,75265.0,4.0,2.286,76283.409,4.339,3.617,1991.296,0.106,0.06,1.19,,,295.0,7.805,,,,,45518.0,18306286.0,484.332,1.204,36923.0,0.977,0.004,270.1,people tested,34597705.0,18423513.0,17590257.0,,75965.0,93159.0,91.54,48.74,46.54,,2465.0,41437.0,0.11,38.89,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,
107036,SMR,Europe,San Marino,2021-08-03,5167.0,20.0,5.143,90.0,0.0,0.0,151925.904,588.062,151.216,2646.281,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,45918.0,,,,,102.0,135.01,,,,2999.0,27.0,0.079,38.89,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,
13515,BLZ,North America,Belize,2021-08-04,14331.0,47.0,37.429,338.0,0.0,0.143,35392.613,116.074,92.436,834.743,0.0,0.353,1.27,,,,,,,,,,,,,886.0,2.188,0.042,23.7,tests performed,189396.0,136163.0,53233.0,,2583.0,1952.0,46.77,33.63,13.15,,4821.0,1353.0,0.334,66.67,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
28788,CRI,North America,Costa Rica,2021-08-05,414745.0,1827.0,1362.714,5108.0,21.0,13.571,80704.558,355.513,265.168,993.957,4.086,2.641,1.18,,,,,,,,,8130.0,1501498.0,292.174,1.582,7486.0,1.457,0.151,6.6,people tested,,,,,,15659.0,,,,,3047.0,14819.0,0.288,54.63,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
75334,MAC,Asia,Macao,2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523016.0,289941.0,234849.0,,640.0,3136.0,79.44,44.04,35.67,,4763.0,1128.0,0.171,31.48,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
114123,SOM,Africa,Somalia,2021-08-05,15735.0,77.0,53.857,837.0,5.0,4.0,961.826,4.707,3.292,51.163,0.306,0.245,1.32,,,,,,,,,,,,,,,,,,,,,,,841.0,,,,,51.0,671.0,0.004,35.19,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
136052,WLF,Oceania,Wallis and Futuna,2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,1262.0,7.0,0.063,,11094.0,,,,,,,,,,,,,79.94,,,,,
45977,GMB,Africa,Gambia,2021-08-06,8505.0,0.0,113.714,238.0,0.0,3.714,3419.87,0.0,45.725,95.7,0.0,1.494,0.92,,,,,,,,,,92654.0,37.256,,485.0,0.195,0.234,4.3,samples tested,,,,,,3615.0,,,,,1454.0,3578.0,0.144,24.07,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
90343,NIC,North America,Nicaragua,2021-08-06,9853.0,0.0,54.714,196.0,0.0,0.143,1470.075,0.0,8.163,29.243,0.0,0.021,0.19,,,,,,,,,,,,,,,,,,,,,,,5140.0,,,,,767.0,4055.0,0.061,2.78,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,
